window_seconds,model_name,scenario_bundle,zero_day_eval_exists,metrics_exist,report_exists,needs_rerun,notes
5,arima,canonical_bundle,False,False,False,True,"ARIMA detector is not implemented in the repository. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,autoencoder,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,gru,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,isolation_forest,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,lstm,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,lstm_ae,canonical_bundle,False,False,False,True,"No LSTM autoencoder detector implementation exists; MLP autoencoder is reported separately as `autoencoder`. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,threshold_baseline,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,transformer,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
5,ttm_extension,canonical_bundle,False,False,False,True,"No pre-existing heldout TTM evaluation artifact was found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
10,arima,canonical_bundle,False,False,False,True,"ARIMA detector is not implemented in the repository. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
10,autoencoder,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
10,gru,canonical_bundle,False,False,False,True,"No pre-existing heldout synthetic evaluation artifact found. Canonical bundle is in-domain replay reference, not counted as heldout zero-day-like evidence."
